tweet_id	date	time	lang	country_code
1646724937120399360	2023-04-14	03:59:54	en	Standing By
1646724938244521985	2023-04-14	03:59:54	qme	NULL
1646724954476498944	2023-04-14	03:59:58	en	USA
1646724960264568837	2023-04-14	03:59:59	es	São Paulo, Brasil
1646724961653108736	2023-04-14	04:00:00	en	730-8586　広島県広島市中区国泰寺町1-6-34 
1646724963808817152	2023-04-14	04:00:00	en	130+ countries
1646724964903706624	2023-04-14	04:00:00	en	Nairobi, Kenya
1646724966199738368	2023-04-14	04:00:01	en	Washington, DC
1646724966996652032	2023-04-14	04:00:01	en	Brisbane, Queensland
1646724972495220737	2023-04-14	04:00:02	en	NULL
1646724973258764289	2023-04-14	04:00:02	ja	NULL
1646724974751944704	2023-04-14	04:00:03	kn	Bengaluru, India  
1646724975884115968	2023-04-14	04:00:03	en	Lancaster, PA
1646724976375136256	2023-04-14	04:00:03	tl	Jodhpur, India
1646724977675182081	2023-04-14	04:00:04	en	NULL
1646724991315001345	2023-04-14	04:00:07	en	New Hampshire
1646725001717108736	2023-04-14	04:00:09	qht	納豆 味噌汁 梅干し 卵 onion pineapple
1646725008658448384	2023-04-14	04:00:11	en	Woking Surrey England
1646725016417861634	2023-04-14	04:00:13	en	NULL
1646725024068300802	2023-04-14	04:00:15	en	USA
1646725029944492034	2023-04-14	04:00:16	en	Kathmandu, Nepal
1646725032125644801	2023-04-14	04:00:16	en	Kathmandu, Nepal
1646725034264723461	2023-04-14	04:00:17	vi	Everywhere
1646725051369107456	2023-04-14	04:00:21	es	León, Guanajuato
1646725053604569088	2023-04-14	04:00:22	zxx	NULL
1646725069442551808	2023-04-14	04:00:25	ja	NULL
1646725072671866881	2023-04-14	04:00:26	ja	東京都新宿区西新宿２－８－１
1646725075809304576	2023-04-14	04:00:27	en	Tarding Bangers, USA
1646725078120386561	2023-04-14	04:00:27	es	Cuernavaca, Morelos
1646725078330277888	2023-04-14	04:00:28	zh	NULL
