tweet_id	date	time	lang	country_code
1645275391547031554	2023-04-10	03:59:55	en	Hawaii, USA
1645275410882764800	2023-04-10	04:00:00	en	City of San Pedro, Laguna, PHL
1645275410907766784	2023-04-10	04:00:00	en	🌎 🌏 🌍
1645275411709063168	2023-04-10	04:00:00	en	India
1645275412551925761	2023-04-10	04:00:00	en	730-8586　広島県広島市中区国泰寺町1-6-34 
1645275412661149699	2023-04-10	04:00:00	en	NULL
1645275412803493888	2023-04-10	04:00:00	en	NULL
1645275413026082817	2023-04-10	04:00:00	ja	NULL
1645275425608962053	2023-04-10	04:00:03	en	NULL
1645275427022462977	2023-04-10	04:00:04	ja	NULL
1645275446815371264	2023-04-10	04:00:08	en	Khánh Hòa, Vietnam
1645275449424252928	2023-04-10	04:00:09	ja	NULL
1645275452485914626	2023-04-10	04:00:10	en	India
1645275469653082114	2023-04-10	04:00:14	en	Bengaluru, India
1645275480969609216	2023-04-10	04:00:17	ta	India
1645275488800350208	2023-04-10	04:00:18	en	Pacifica, CA
1645275494118567937	2023-04-10	04:00:20	en	Philadelphia, PA
1645275496916324352	2023-04-10	04:00:20	en	New Zealand
1645275504247988224	2023-04-10	04:00:22	es	Phnom Penh, Cambodia.
1645275506181382145	2023-04-10	04:00:23	en	Oxford, England
1645275509033521153	2023-04-10	04:00:23	qme	Highbury, Northern London 
1645275533247410178	2023-04-10	04:00:29	en	Sweden
1645275536950689792	2023-04-10	04:00:30	en	NULL
1645275539274604544	2023-04-10	04:00:30	hi	India
1645275543561019392	2023-04-10	04:00:31	de	Leipzig
1645275581615857665	2023-04-10	04:00:41	qme	Nepean, Ontario
1645275589157220353	2023-04-10	04:00:42	pt	she/her  24
1645275596539453440	2023-04-10	04:00:44	en	Sydney Region Australia
1645275600439918592	2023-04-10	04:00:45	qme	Manhattan - New York, NY
1645275607964741632	2023-04-10	04:00:47	en	chennai and Puducherry  
1645275615724187649	2023-04-10	04:00:49	ja	NULL
1645275634711793665	2023-04-10	04:00:53	qme	NULL
1645275639652712452	2023-04-10	04:00:54	en	California, USA
1645275644203335680	2023-04-10	04:00:55	en	Tamale, Ghana
1645275644371116037	2023-04-10	04:00:56	en	NULL
1645275657977618432	2023-04-10	04:00:59	en	NULL
1645275664617193474	2023-04-10	04:01:00	ja	NULL
1645275668236705792	2023-04-10	04:01:01	fr	NULL
1645275677543788544	2023-04-10	04:01:03	zxx	Tampa
1645275683113824256	2023-04-10	04:01:05	en	United States
1645275687543263233	2023-04-10	04:01:06	zh	NULL
1645275692802916352	2023-04-10	04:01:07	en	NULL
