covid,15635
19,12969
covid19,10158
coronavirus,3837
people,1900
vaccine,1866
amp,1679
new,1594
pandemic,1473
vaccines,1392
2022,1219
ukraine,1215
die,1195
cases,1181
health,1093
get,1062
vaccination,1056
europe,1023
crypto,995
google,975
via,958
queen,956
halloween,953
russie,946
messi,943
coolio,939
pubg,939
civ225,937
cooliorip,937
climatejusticecamp,937
worldcup2022,937
africafootunited,937
jisoo,937
pubgmobile,937
one,858
et,815
deaths,811
est,796
russia,794
10,777
virus,769
us,765
des,725
di,685
like,673
mrna,654
da,647
still,633
the,633
isolation,626
news,618
und,604
day,591
world,571
casos,563
time,559
il,556
pas,556
ve,550
corona,548
000,525
du,520
public,520
test,508
qui,505
booster,501
know,500
2020,496
na,495
safety,491
data,490
created,487
years,485
petition,480
mandatory,479
period,479
01,475
das,472
mais,468
many,467
today,465
30,461
help,457
say,455
em,454
der,453
year,450
died,449
drlimengyan1,448
com,445
could,440
need,431
since,429
une,429
government,429
newsbreak,429
getting,425
china,423
existing,423
india,421
pour,418
would,418
maintain,418
stop,417
pandemia,408
work,408
mask,408
covidisnotover,408
report,408
24,407
please,407
long,403
think,401
back,398
also,397
see,395
myocarditis,394
global,389
war,387
well,381
major,379
study,377
death,371
even,370
canada,369
without,368
dan,362
good,356
ba,356
patients,355
got,352
uscis,352
je,351
não,351
17,351
vaccinated,349
trump,348
12,348
taking,346
per,346
flu,345
infection,340
dr,337
spike,337
non,332
shot,332
bannon,332
case,331
20,330
funds,329
reports,327
boosters,327
full,326
go,326
fda,325
first,324
science,323
omicron,321
ccp,321
ont,320
restrictions,318
ethnicity,318
ist,317
last,316
het,315
due,314
yanlimeng,313
nicht,311
pfizer,310
family,310
limengyan,309
france,308
accidents,307
said,306
risk,306
plus,305
bolsonaro,304
going,299
right,298
si,297
encephalitis,297
two,295
much,295
link,292
doctor,291
man,291
usa,290
positive,288
seadelantólaparranda,288
climate,287
make,286
never,284
safe,283
país,279
way,278
take,278
van,276
october,275
care,275
dans,273
cdc,273
brasil,272
children,272
may,271
au,268
protein,268
research,267
week,267
home,267
uk,266
salud,265
travel,265
re,265
another,263
hospital,261
free,260
25,260
masks,259
medical,258
digital,254
must,254
in,253
self,251
paper,250
every,248
update,247
um,247
disease,246
fort,246
use,246
really,245
daily,245
life,244
florida,244
old,244
oct,243
poor,243
results,242
biden,241
come,241
winter,240
keep,239
click,237
11,236
qr,235
corruption,235
ne,234
vous,234
around,233
latest,233
million,231
een,231
nuevos,230
find,229
state,229
months,228
read,228
based,228
uma,227
effective,226
ce,226
wave,225
anti,225
want,225
sars,224
certificate,223
end,221
total,220
made,219
caused,219
times,218
tests,218
zu,216
2021,216
vacunas,215
better,215
brain,214
social,214
solution,213
card,213
gt,213
country,213
school,213
kagutamuseveni,213
mortes,212
longcovid,212
mundo,212
22,211
18,210
governo,209
to,209
impact,208
enfants,208
let,207
sur,207
oh,206
response,206
imagine,206
post,204
mandates,204
qu,204
cov,204
09,204
heart,204
mit,204
and,203
europarl_en,203
current,202
spread,201
withholding,201
shots,201
dat,199
economy,199
75,199
infections,198
reported,198
100,198
bei,197
continue,197
vaccinesget,196
contagios,196
vaksinasi,196
of,196
untuk,194
used,194
16,193
par,193
oktober,192
al,191
00,191
policy,191
according,190
truth,190
32,189
13,188
den,188
thanks,188
seule,187
mohammed,186
september,186
teachers,186
foi,186
dies,186
vaccin,185
look,185
nasser,184
200,184
âge,184
auch,183
auf,183
mahdi,182
live,182
