gram,counts
covid 19,93594
19 vaccine,6146
19 vaccination,3577
19 pandemic,3151
cegah pandemi,2901
19 di,2795
000 people,2626
disiplinprokesppkmvaksinasi cegah,2497
236 000,2466
assistance amid,2463
aid organisation,2458
19 cases,2365
19 vaccines,2228
covid19 vaccine,2038
2021 06,1993
people need,1982
19 military,1888
need urgent,1866
military coup,1863
urgent assistance,1861
amid upheaval,1861
upheaval covid,1860
organisation says,1858
says 236,1858
coup myanmar,1855
myanmar jazeera,1852
jazeera whatshappeninginmyanmar,1850
appointments available,1757
covid19 coronavirus,1625
06 2021,1601
vaccination appointments,1579
08 06,1577
new cases,1572
available cvs,1566
coronavirus covid19,1565
cvs near,1547
sign 2021,1503
06 08,1497
new covid,1407
nuevos casos,1393
di kudus,1335
covid19 pandemic,1323
kasus covid,1195
casos covid,1194
june 2021,1133
penanganan covid,1115
penyebaran covid,1107
protokol kesehatan,1086
due covid,1039
get vaccinated,1032
vacunación covid,1018
delta variant,1005
pa sign,995
da covid,994
fully vaccinated,987
coronavirus pandemic,928
covid19 cases,912
06 21,907
vaksinasi covid,890
24 horas,884
covid19 corona,869
amid covid,854
wuhan lab,841
covid19 vaccination,835
24 hours,826
fighting covid,791
last year,780
kudus kapolri,760
spread awareness,758
sars cov,757
lab leak,757
vacunas covid,752
vaccine doses,751
últimas 24,746
lives people,746
covid surge,740
rt spread,736
made nft,735
nft potential,735
potential save,735
save tens,735
tens lives,735
people fighting,735
surge all,735
all ask,735
ask small,735
small rt,735
public health,726
penularan covid,715
get covid,715
vacuna covid,710
semua pihak,710
harus bergerak,699
pihak harus,696
coronavirus vaccine,668
active cases,667
washington state,657
kapolri semua,650
lonjakan kasus,650
corona vaccine,647
pfizer biontech,641
urgent need,633
people across,631
red cross,630
impfung covid19,626
bergerak bersama,623
coronavirus cases,616
21 hier,615
hier buchen,615
buchen impfung,615
19 em,615
wählbare tage,610
need food,606
part international,605
cash assistance,605
19 restrictions,603
covid19 vaccines,602
organisation part,602
international federation,602
federation red,602
cross ifrc,602
ifrc estimates,602
estimates 236,602
across myanmar,602
myanmar facing,602
facing poverty,602
poverty urgent,602
food cash,602
19 coup,602
last 24,601
coup whatshappeninginmyanmar,599
casos coronavirus,590
dosis vacuna,588
please retweet,575
pandemia covid19,574
vaksinasi cegah,572
mortes covid,571
19 vaccinations,568
